,Major_x,Final_Grade_f,Total_Points_f,Exam_1_f,Exam_1_Scaled_f,HW_1_f,Quiz_1_f,Exam_2_f,Exam_2_Scaled_f,hw_f,Exam_3_f,Exam_3_Scaled_f,Final_Exam_Raw_f,Final_Exam_Scaled_f,Final_Grade_s,Total_Points_s,Exam_1_s,Extra_Credit_s,Exam_2_s,Exam_3_s,Exam_3_Scaled_s,Avg_of_3_exams_s,Total_Exam_Score_s,Replace_lowest_with_avg_s,Final_Exam_Raw_s,Final_Exam_Scaled_s
28,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,,485.0,25.0,120.0,,,36,65.0,,,0.0,,22.8571428571,,,,,,,,,,,,
29,,,368.0,19.0,96.0,2.0,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
30,Sci/Phy/Ugrad/FA - Mechanical Engineering,C+,768.0,27.0,128.0,4.0,5.0,36,65.0,8.0,71.0,142.0,23.0,154.2857142857,D-,545.0,79.0,11.0,105.0,112.0,140.0,108.0,353.0,404.0,9.0,130.0
31,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,,355.0,16.0,84.0,5.0,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
32,Sci/Phy/Ugrad/FA - Computer Science,B-,804.0,27.0,128.0,5.0,2.0,71,129.0,9.0,70.0,140.0,26.0,171.4285714286,,,,,,,,,,,,
33,Sci/Phy/Ugrad/FA - Biochemistry,L,408.0,16.0,84.0,,1.0,21,38.0,,10.0,20.0,,22.8571428571,,,,,,,,,,,,
34,Sci/Phy/Ugrad/FA - Mechanical Engineering,B+,865.0,36.0,164.0,,5.0,38,69.0,5.0,83.0,166.0,27.0,177.1428571429,D-,590.0,108.0,,140.0,71.0,88.75,112.0,360.0,400.0,15.0,190.0
35,Sci/Phy/Ugrad/FA - Electrical Engineering,A,1002.0,46.0,204.0,5.0,,92,167.0,7.0,95.0,190.0,30.0,194.2857142857,C,762.0,138.0,12.0,200.0,66.0,82.5,140.0,478.0,530.0,18.0,220.0
36,Sci/Phy/Ugrad/FA - Computer Science,C,735.0,27.0,128.0,,4.0,65,118.0,6.0,74.0,148.0,14.0,102.85714285709999,F ,512.0,68.0,,59.0,124.0,159.0,95.0,322.0,362.0,11.0,150.0
37,Sci/Phy/Ugrad/FA - Biochemistry,B,826.0,32.0,148.0,4.0,4.0,51,93.0,7.0,95.0,190.0,16.0,114.2857142857,,,,,,,,,,,,
38,,,,,,,,,,,,,,,C,730.0,65.0,10.0,185.0,133.0,166.25,139.0,490.0,540.0,14.0,180.0
39,Sci/Phy/Ugrad/FA - Biochemistry,A,1054.0,49.0,216.0,4.0,1.0,95,173.0,19.0,103.0,206.0,30.0,194.2857142857,A,1013.0,229.0,12.0,240.0,177.0,221.25,230.0,699.0,751.0,21.0,250.0
40,Sci/Phy/Ugrad/FA - Mechanical Engineering,B-,805.0,32.0,148.0,1.0,2.0,62,113.0,4.0,75.0,150.0,22.0,148.5714285714,C-,670.0,71.0,8.0,145.0,118.0,147.5,121.0,414.0,462.0,16.0,200.0
